Set	Exercise Name	Time	Rest	Reps	Weight	Volume
1	Leg Press	0:48.4	1:04.0	12	45 kg	540 kg
2	Leg Press	0:45.9	1:07.5	12	47 kg	564 kg
3	Leg Press	0:49.1	1:00.7	12	47 kg	564 kg
4	Leg Press	0:48.0	0:50.4	12	47 kg	564 kg
5	Leg Press	0:43.8	1:02.4	12	54 kg	648 kg
6	Leg Press	0:42.0	2:53.6	12	63 kg	756 kg
7	Weighted Abs Jabs	1:01.8	1:18.0	10	36 kg	360 kg
8	Weighted Abs Jabs	0:49.2	1:09.5	10	36 kg	360 kg
9	Weighted Abs Jabs	0:49.2	1:10.4	10	36 kg	360 kg
10	Weighted Static Back Extension	1:05.9	2:13.5	12	36 kg	432 kg
11	Weighted Static Back Extension	0:54.6	1:03.9	12	41 kg	492 kg
12	Weighted Static Back Extension	0:48.2	1:04.0	12	41 kg	492 kg
13	Weighted Static Back Extension	0:48.4	2:50.9	12	41 kg	492 kg
14	Seated Cable Row	0:12.7	0:31.5	10	32 kg	320 kg
15	Seated Cable Row	0:38.1	0:59.6	8	32 kg	256 kg
16	Seated Cable Row	0:36.5	1:53.2	8	32 kg	256 kg
17	Seated Cable Row	0:35.9	1:18.4	8	32 kg	256 kg
18	Triceps Press-down	1:58.2	1:03.8	8	14 kg	112 kg
19	Triceps Press-down	0:35.9	1:06.7	8	14 kg	112 kg
20	Triceps Press-down	0:35.5	3:47.2	8	14 kg	112 kg
21	Triceps Press-down	0:02.2	0:00	0	14 kg	0 kg
